,comment,webtoon_name,webtoon_num
0,인생존망 재밌었다👍 재미 없었다👎,인생존망,733766
1,워싱 칭따오,인생존망,733766
2,이제 시즌2 가시죠,인생존망,733766
3,수수고고하하셨셨습습니니다다,인생존망,733766
4,형 난 다 읽었는데 나만 다 읽은거 아니징..?,인생존망,733766
5,형 미안 글 안읽었어 나만그런거 아니지?,인생존망,733766
6,왜 아무도 언급 안 하냐 할머니께 글러브 값 뜯어간 게 생활비여ㅛ다는 거 너무 마음아픔성공하셔서 다행이다 진짜,인생존망,733766
7,동수야 사과하자,인생존망,733766
8,동수 나쁜놈...,인생존망,733766
9,근데 이게 실제로 작가님이 있었던 일이기도 하고 그리고 실제있었던일을 각색해서 스토리를 짰다는게 진짜 충격인데?... 재밌게 보고있다가 개정색함..;; 그래도 작가님들 화이팅!! ,인생존망,733766
10,혹시 저 동수라는 사람땜에 외지주 최동수 나쁜놈 만든건가?ㄷㄷ,인생존망,733766
11,후기만봐도 작가둘 성격차이 다드러나네 ㅋㅋㅋㅋㅋ,인생존망,733766
12,태준이형 돈벌어야지 시즌2 ㄱㄱㄱ,인생존망,733766
13,여기 댓글들 다 빙빙진진우우가 씀?? 왜 다 말말을을떨떨고고그그래래,인생존망,733766
14,쭉 다읽었는데 박태준 작가님 웹툰에 대한 열정이 보이네요 엄청 좋아하시는거 같아요 ㅠㅠ 어렸을땐 일진이라고 생각했는데 섬세하시고 착하신거같아요 웹툰작가로서 성공한 이유가 있네용..,인생존망,733766
15,시즌2 볼사람👍  안볼사람👎,인생존망,733766
16,인생존망 완결 축하드려요🎉🎉 시즌2 기다릴게요,인생존망,733766
17,핑크맨이 스폰지ㅂ 빤스를입는이유 알아냄 ㄷㄷ스폰지밥은 항상 월요일 좋아를 외치고 다님이 웹툰은 월요일연재,인생존망,733766
18,낙타 고퀄보소 ㅋㅋㅋㅋ,인생존망,733766
19,다시 월요병 돋겠네 ㄹㅇ,인생존망,733766
20,"외지주,쌈독 완결도 이런식으로 날까 두렵다ㄹㅇ",인생존망,733766
21,김진우가 말더듬는거 고쳤는데 심슨 ㅗㅜㅗㅜ는 못고친다     ,인생존망,733766
22,질질끄는 웹툰보다 깔쌈하게1년에조지는게 ㄹㅈㄷ..기승전결 모두완벽..엉덩이모자이크빼고,인생존망,733766
23,"???:참 신기한 놈들이야, 개개인의 능력치는 0.5인데 합치면 10, 그 이상이라니.인생존망이 원탑인 이유? 전선욱과 박태준의 합작이기 때문이다.인생존망 시즌1 완결 축하드려요~김진우의 근황+나진솔과의 핑크빛 시작+에필로그까지???:박태준 전선욱...너...종합적으로 1등!",인생존망,733766
24,안돼 내 월요일 인생이 존망한다,인생존망,733766
25,임슬기 등뒤 종이에에 시즌2 못해라고 되있는거 뭔데,인생존망,733766
26,"~ 인생존망 사건 에피소드 정리 ~첫번째 인생존망 사건 - 6화두번째 인생존망 사건 - 14화세번째 인생존망 사건 - 33화네번째 인생존망 사건 - 45화~ 내 기준 ㄹㅈㄷ화 ~빙진우, 핑크맨 작명 - 5화전설의 포경수술 에피소드 - 21화박다빈, 김진우, 나진솔 도서관 에피 - 28화김문성 VS 장안철 - 41화학교폭력위원회, 장안철 갱생 - 51화마지막화 (1) - 53화마지막화 (2) - 54화마마지지막막화화 - 55화🎉 그동안 수고 많으셨습니다, 박태준,전선욱 작가님! 🎉",인생존망,733766
27,아니 막컷에 구상민 봉기태 차한구 탈옥했냐ㅋㅋㅋㅋㅋ,인생존망,733766
28,♡마지막 컷에 나온 이들♡김진우 장안철임슬기나진솔박다빈심민규구상민봉기태차한구육광우최준석이상준럭키 창채유진김진우 아빠김진우 엄마박진철미우라쨩마이클 트렁크박태준 작가전선욱 작가꼬까스 병원 의사이진수,인생존망,733766
29,구상민이 왜 죄수복 입고있음? 쟤 다빈이 따라다니다 잡혀갔나 ㅋㅋㅋㅋ,인생존망,733766
30,워싱(그동안) 칭따오(수고많으셨습니다 작가님),인생존망,733766
31,쟤네보다 진우 진솔 슬기 근황이 궁금했는데ㅋㅋ후 월요일을 위로해주던게 이제 하나 사라지는군... 아쉽,인생존망,733766
32,럭키짱 김성모였냐ㅋㅋㅋㅋㅋㅋㅋ,인생존망,733766
33,말은 최준석 득점왕이라고 하면서 왜 그림은 골 막히는 컷인뎈ㅋㅋㅋㅋㅋㅋㅋㅋ,인생존망,733766
34,골 막히는게 아니라 막았는데도 골키퍼가 날아간거임 ㅋㅋㅋ,인생존망,733766
35,이정도면 장안철은 악마가 아니라 천사아니냐 몇명의 인생을 성공시킨거야 ㅅㅂ ㅋㅋㅋㅋㅋ,인생존망,733766
36,전선욱님은 어쩌다가 박태준님의 1등급 노예가 되셨나요?,인생존망,733766
37,"와 이정도면 학원물계의 교과서급 명작아니냐.. 학원물 특유의 가벼운 유머코드, 오글거리면서도 적당히 감칠맛나는 감동, 자극적인 재미 다 갖췄고 미화될 수 있는 부분도 잘 수습하시면서 가해자가 피해자입장으로 산다는 특이한 구조로 교훈적인 메시지도 중간중간 잘풀어내심.. 전선욱 작가님 박태준 작가님 두분다 학원물 그리시면서 일진미화 꼬리표 항상 따라다녀서 스트레스 많으셨을텐데 이번에 이갈고 실력발휘 하신듯 ㄷㄷ",인생존망,733766
38,태준씨 선욱씨 진심으로 고마워요. 이 댓글 볼수 없겠지만. 정말 고마워하고 있어요. 이십년전에 악몽으로 끝나지 않은 내 학창시절이 위로가 되었어요. 두 작가님께 진심으로 감사말씀 전합니다.,인생존망,733766
39,워싱 칭따오에서 이대로 끝나는 줄 알고 식겁했네 ㅋㅋㅋ,인생존망,733766
40,세계최초 마지막화를 봤는데도 결말이 궁금힌 웹툰,인생존망,733766
41,인생존망 드라마화 존버 파티 모집(1/999999),인생존망,733766
42,이제 끝난다니까 아쉽네,인생존망,733766
43,.　　　　｜　　／￣￣￣＼　／　　∧　　＼　│　／ 川＼　│　＼／┏┻┓ ＼／。゛＃┃워┃゛。゛，。┃싱┃＃。゛。゜＃┃칭┃゛。゛，＊。┃따┃゜。＃＃゜。┃오┃゜＊。　　　┃☆┃　　　┗┯┛　∧∧　│　(*´∀`)│　　/　⊃,인생존망,733766
44,을용타하고 각잡는거봨ㅋㅋㅋㅋㅋㅋㅋ,인생존망,733766
45,박다빈은 사람을 얼굴로 보는게 아니라 진짜 내면을 보는거네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,인생존망,733766
46,심슨 ㄹㅇ 충신 지리네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 저런 친구 한명만 있어도 성공한거다,인생존망,733766
47,구상민ㅋㅋㅋㅋㅋㅋㅋ 이이잉익 거리는거 ㅈㄴ 웃기네,인생존망,733766
