,comment,webtoon_name,webtoon_num
0,누나도 남친 데리고 왔으면 레게노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,프리드로우,597447
1,민지 손 왤케 우람해,프리드로우,597447
2,아빠왔다 태성아,프리드로우,597447
3,민지가 세계관 최강아닐까? 저 채구에 저 손이면 ㄷㄷ,프리드로우,597447
4,이번화 탈룰라 오지네ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 하는 말마다 의도치 않은 패드립ㅋㅋㅋㅋㅋ,프리드로우,597447
5,막컷 민지 손이 무슨 ㅋㅋㅋㅋㅋㅋㅋ 사람 얼굴만하농,프리드로우,597447
6,상황설명어제 새벽에 분명 배댓 8개이상이였는데 지금 4개네요 ㅋ,프리드로우,597447
7,어제밤까지만해도 배댓많았는데ㅡ갑자기 왜이렇게 적어짐,프리드로우,597447
8,배댓보고 민지 손 보고왔는데 개놀랐네;;,프리드로우,597447
9,저 개가 네이버 라는것이 학계의 점심,프리드로우,597447
10,난 왜 자꾸 아버님만 보면 옆 집 금니와 금 체인목걸이를 가지신 아버님이 생각나지? 나만그래?,프리드로우,597447
11,"아들, 아내도 있는데 회사를 그만두고 만화를 그린다... ㅋㅋ 이혼할만 했네",프리드로우,597447
12,사라진 베댓에 '아버지가 준비하신 작품 더 복서 아님?' 이런 댓이 있었습니다. 잊혀지지 않게 해주세요 보고 엄청 웃었던 댓글이라...,프리드로우,597447
13,거....작가님....남자방에 휴지가 없네요...?ㅋㅋ,프리드로우,597447
14,태성이 친구 왔니? 아저씨가 허리가 아파서...,프리드로우,597447
15,태성이 가정사 ㅈㄴ궁금했는디 336화만에 나오네,프리드로우,597447
16,뭔가 쓸쓸한 이야기일 듯,프리드로우,597447
17,태성이 부모님 여행민지와 단둘이 (1),프리드로우,597447
18,초롱이 하늘나라에 있다는 말에 개슬프네 ㅠㅠ ,프리드로우,597447
19,???:아버님 저랑 맞짱한번뜨시죠,프리드로우,597447
20,문 열었는데 진우 아버지 나오면 꿀잼,프리드로우,597447
21,태성이 가정사 그리 좋진 않을듯 대부분 일진들 가정사보면 최소 어디 하나가 부족함,프리드로우,597447
22,우리도 이새끼 집은 첨인데,프리드로우,597447
23,이 세계관은 부모님이 안나올 줄 알았는데,프리드로우,597447
24,안에 봉남이 있으면 ㄹㅈㄷ,프리드로우,597447
