,comment,webtoon_name,webtoon_num
0,문성이 장안철한테 양아치 막 뭐라하더니 지가 더 씹양아치였네 감히 우리 안철나르한테,싸움독학,736277
1,형이 왜 여기서 나와..?,싸움독학,736277
2,김문성?,싸움독학,736277
3,옆집 MMA는 10개월 등록시 1개월 무료인데 여기 태권도장은 1개월 등록시 10개월 무료네요 ㅎ바로 태권도장 등록 갑니다~~태훈옵빠에게 맞을 수 있는 서비스까지♡꺆꺅꺆,싸움독학,736277
4,강북이면 갓독인데 성요한한테 나중에 점거당할 크루네 ㅋㅋㅋ,싸움독학,736277
5,???: 강북에 정찬.넌 안돼.왜?낭만이 없거든.,싸움독학,736277
6,쟤는 우리가 아는 문성이가 아님왜냐면 문성이 벗은 몸이 쌈독이 체육관 갔을 때 나옴근데 전혀 상쳐가 없었음 근데 쟨 상처가 많음,싸움독학,736277
7,김문성이 폭주족 양아치였다는게 성태훈이 예전에는 더 양아치였단 사실보다 충격적임ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ,싸움독학,736277
8,성태훈: 이새낀 머리가 왜 갈색이야?성요한: ...?,싸움독학,736277
9,김문성하고 링에서 붙었을때 첫패배니까 이번엔 성태훈이 이겼겠네,싸움독학,736277
10,나중에 요한이 한 번 나왔으면 좋겠다ㅋㅋ 김정현 작가님 그림체로는 어떨지 궁금함,싸움독학,736277
11,11개월동안 성태훈얼굴 보는거면 개꿀이잖아 ?,싸움독학,736277
12,"이거 애매한데....김문성이랑 너무 비슷해....눈동자색,턱살 라인까지 근데 김문성이 처음 옷을 벗었을때는 상처가 없고 저 김문성은 상처가 있음 이거 반반에 확률인데 작가의 실수로 상처를 그린거나 아니면 완전히 다른 놈이거나",싸움독학,736277
13,아 근데 진짜 성태훈 졸라잘생겼다...,싸움독학,736277
14,"강북 성 성요한,성태훈강동 장 장현,장안철",싸움독학,736277
15,지금 보다 더 쓰레기였던 전개는 상상도 못했다ㅋㅋ,싸움독학,736277
16,이도운 양아친줄 알았는데 찐따였누,싸움독학,736277
17,외모지상주의 ,싸움독학,736277
18,아빠 손에 뭐임??,싸움독학,736277
19,아니 작가님 태훈이가 더 쓰레기가 되면 여태까지 태훈이 응원한게 물거품이 되잖아요,싸움독학,736277
20,도운이가 자살하고 그거에 태훈이가 맘 잡고 태권도 하고그에 대한 반성으로 갈색머리로 염색하고 다니는듯,싸움독학,736277
21,옆에 있는 친구를 쳐 때리면서 500원 500원 거리는게 갱생된거면 도데체 그 전에는 얼마나 양아치였던거냐,싸움독학,736277
22,지연우 아빠 손에 자물쇠임 지연우 가둬놓고 못나오게 한거..,싸움독학,736277
23,다음화 : 성태훈 [1],싸움독학,736277
24,아니 아빠가 자식보고 예전이 더 쓰레기였뎈ㅋㅋㅋㅋㅋㅋ,싸움독학,736277
25,도운이가 자살한건 아니지.... 생각해봐 어떻게 그렇게 친하게 같이 사진을 찍겠냐...;?,싸움독학,736277
26,태훈이가 저 공부쟁이 인형처럼 사는거 보기싫어서빡돌게해서 자유체험시켜주는거같은데,싸움독학,736277
27,성태훈 진짜 얼굴값을 너무 오지게 하는데;;,싸움독학,736277
28,☆싸움독학이 재미있는 이유☆싸움독학은 메슬로의 5대 욕구중 4가지를 이뤘다1.점점 성장하므로인한 자아실현2.유튜므로 인한 명예3.여러 친구들과의 친목으로 다져진 소속감4.유튜브로 인한 안정적인 수입이런 이유들이 싸움독학을 재미있게하는 이유이다,싸움독학,736277
29,근데 나만 이와중에 성태훈 흑발 보고 난리친건가..?,싸움독학,736277
30,호빈이 양학하는거 보니까 ㅈ나 기쁘다 ㄹㅇ ㅋㅋㅋㅋ보스들이랑 싸우다가 슬라임잡는기분 ㅋㅋㅋㅋ,싸움독학,736277
31,오히려 성태훈이랑 더닮음;;;,싸움독학,736277
32,나만 하나도 안닮은것같음?,싸움독학,736277
33,태훈이 장모님한텐 따뜻한남자구나,싸움독학,736277
34,헐 성태훈 예의바르다고???ㅠㅠ 겉바속촉이네ㅠㅠ,싸움독학,736277
35,저 웅이 라는 얘도 극진가라데인줄알았는데 걍 복서였네 ㅋㅋ,싸움독학,736277
36,??? : 성태훈과도 싸워봤다.이현수와도 싸워봤다.한왕국과도 싸워봤다.따로 진적은 없다.,싸움독학,736277
