,comment,webtoon_name,webtoon_num
0,ㅇㄴ 자림아 제발 먼저 좀 다가거 ;; 맨날 주영이만 가야해? ;;,연애혁명,570503
1,아니 미친 여러분 저 주영이가 안경  쓴거 제가 코디했습니다여러분 카페 가입해서 이벤트 응모하세요 진심 하늘 날라갑니다 진짜 풍차됬습니다,연애혁명,570503
2,자림아 딱 한발자국만 먼저 다가가줘라...아무것도 안하는건 아닌데 왤케 조금이 부족하지...공주영은 언제나 성큼성큼 다가가줬는데...둘이 엇갈리는거 보니 내가 다 슬프다,연애혁명,570503
3,뭐야... 공주영 안경쓴거 개 잘생겻네,연애혁명,570503
4,자림아 너가 이제 다가가야지 ..제발 언제까지 공주영이 다가와주길 기다릴거야 공주영은 너가 하지말라고하고 싫다해도 끝까지 해줬잖아 ..,연애혁명,570503
5,주영이든 자림이든 서로 후회하는듯... 전 개인적으로 둘이 다시 만나더라도 예전처럼 주영이가 메달리는 건 안했음 좋겠어요. 이번기회로 자림이가 주영이에 대한 소중함을 깨달았음 합니다.,연애혁명,570503
6,ㅋㅋㅋㅋㅋㅋ 자림아 ㅋㅋㅋ 주영이 원래 표정이 미소야?? 진짜 이기적이구나,연애혁명,570503
7,왕자림이 제일 싫었는데 이번편보니 왕자림이 제일 낫다혼자 코로나 최전선에서 싸우누 ,연애혁명,570503
8,헤어지고 주영이가 개정색 했는데 어떻게 쉽게 말을 걸고 풀어 진지한 분위기도 아니고,연애혁명,570503
9,피하기만하면 해결 안된다 자림아...,연애혁명,570503
10,자림아 기타치자 ㅋㅋㅋㅋ,연애혁명,570503
11,연애혁명 재밌다 👍,연애혁명,570503
12,자림이 주먹쥔컷에 커플팔찌보인다,연애혁명,570503
13,주영이랑 자림이랑 딱 집 앞에서 만났어야 하는데 왜 그렇게 용기가 없냐 자림아,연애혁명,570503
14,연애에 자존심좀 그만 세워라 자림아 어휴,연애혁명,570503
15,그래도 친구는 친구다 진짜,연애혁명,570503
16,머... 솔직히말해서 공주영 자림이한테 받은고통생각하면지금 흑화한거 절대 억지가 아님난 자림이랑 재결합해도 바로는하지말고 몇년 애태우며후회하는시간 줬으면좋겠다그리고 이경우신경쓰는거 더이상 안하는게좋을듯주영이만 계속 스트레스받고ㅎ이제부터 자신만 챙기면서 살아라,연애혁명,570503
17,경우 츤데레같우...편의점 델고 가면서 사과하자잉~^^,연애혁명,570503
18,솔직히ㅋㅋㅋㅋ 공주영이 이렇게하는거 이해못하는거라면이경우는 친구자격없고 왕자림은 여친자격 없는거지걍 욕을먹던 맞던 그거 달게 받아야됨주영이 솔직히 짜증한번 제대로낸적없지않나,연애혁명,570503
19,주영이가 말심하게했는데 경우가 저런말하면서 챙기는거보면 친구라 생각안한적는 없다는거 .. 잘 풀었으면 좋겠다 ㅜㅜ,연애혁명,570503
20,경우가 그래도 싸웠는데 먼저 다가갈려고 노력은 하네...둘이 잘 해결되길...,연애혁명,570503
21,그래도 경우랑 암민지는 다르네,연애혁명,570503
22,아니 저번부터 경우 타이밍 왜저런데 ㅋㅋㅋㅋ,연애혁명,570503
23,이경우 뭐 편의점에서 핫초코라도 사주냐???ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,연애혁명,570503
24,주영아 너 만화 주인공은 맞는데.....,연애혁명,570503
25,주영이 우는거 보니깐 맘찢이다 주영아 행복하자,연애혁명,570503
26,민지 족치는건 언제나오남ㅠㅠㅠ,연애혁명,570503
27,"지금까지 전개된 과거회상 에피소드는 6가지주연: 왕자림 Episode의 왕자림, 이경우 Episode의 이경우, 고슴도치의 꿈의 오아람조연: Sunflower의 최한별, 너를 좋아하고 좋아하다 지쳐갈 때의 김우리빌런: Boy Recipe의 곽보경공주영 에피소드가지금 현재 최근 에피소드인Hollow wood 라네요.다들 아시다시피 공주영 에피소드가스토리의 80%가 진행이 된 겁니다.그러니까 20%정도 남았네요..",연애혁명,570503
28,평소에 잘 받아주던 애가 갑자기 화내면 다 이유가 있는거임,연애혁명,570503
29,공주영 제대로 흑화했네,연애혁명,570503
30,이번화 놀란게 1화부터 300화가 넘도록 공주영은 이경우를 친구가 아닌 동정심으로 생각해왔던거임,연애혁명,570503
31, 공주영이 잘 못 한건 맞지만 이경우는 선을 넘어버림 저건 학교폭력인데..,연애혁명,570503
32,경우 상처받은 표정...처음이다...진짜 나쁜놈인 건 맞지만 불쌍하기도 한 놈이어서 저런 표정 처음인 것 같아,연애혁명,570503
33,자림이 죽어가네ㅜㅜㅜㅠㅠ눈퀭한거봐 맘아퍼,연애혁명,570503
34,주영이 키 안큰 이유가있네.. 조승민이다리걸어서 넘어질때 무릎으로 바닥에 넘어져서성장판 다쳤었네... 조승민 진짜 죽을놈이다 ㅋㅋ,연애혁명,570503
35,이경우가 잘못한건 맞지만 친구라고 생각한적 없어 라는말에는 나라도 무너질꺼 같다 그래도 싸우긴해도 믿은게 공주영인데 친하거나 친했었던 친구한테 들은거니깐 다들 공주영 흑화 잘했다 잘했다 하는데 나만 이경우도 선 넘은게 맞지만 공주영도 위태로운거 같냐,연애혁명,570503
36,완전 진심은 아닐거임 지금 하도 쌓이고 꼬여있으니 말이 저렇게 나오는거지 하지만 난 주영이맘 너무 이해하고 주영이가 너무 고생했고 다른 인물보다 주영이가 우선적으로 행복했음좋겠다. 자기보다 다른친구들만 생각하고 배려하다가 자신이 곪아터져버렸네,연애혁명,570503
37,"걍 3시즌 시작하고 다 손절치네 아람ㅡ민지,자림ㅡ민지,자림ㅡ주영,주영ㅡ경우,경우ㅡ민지 무슨 사혼의 구슬조각마냥 찢어지네",연애혁명,570503
38,어떻게 1화부터 300화 넘는 분량을 오로지 '동정심' 만으로 붙어있었을 수가 있겠어...주영이도 경우에게 한편으로는 동정심만 갖고 있진 않았던 거 아닐까...,연애혁명,570503
39,작가님이 경우 우정보다 사랑이라 하셨다던데요..,연애혁명,570503
40,자림이도 정말 그동안 주영이 많이 좋아했나보다 하지만 자림아 너의 선택은 이미 늦었고 주영이는 마음이 떠났고 그걸 후회하는 건 니 몫이야 괜히 주영이 탓 안했으면 좋겠네쨋든 주영아 행복하자 ,연애혁명,570503
41,왕자림 이기적이긴 하지만 살려주세요..작가님,연애혁명,570503
42,별점이 왜이러지? 배경음악 오늘 내용이랑 잘어울린다 ,연애혁명,570503
43,오랫만에 자림이 나와서 좋네,연애혁명,570503
44,아니 주영이는 경우 도와주려다 경우에겐 독이 됐구나  둘다 너무 아프다....,연애혁명,570503
45,"경우 ""또 와도 돼?""라고 수줍게 말하는거 너무 귀엽다 ㅠㅠㅠ저 어린얘가 어릴때부터 저렇게살다가 처음보는 환경을 보니 순수한 표정이 나오네 ㅠㅠㅜ",연애혁명,570503
46,난 주영이가 말 안했고 오해한줄 알았는데...하긴 했었구나....주영이가 이건 잘못했네...,연애혁명,570503
47,초딩 국룰 : 비밀이라고 찐친한테 알려줬는데 다음날 전교생이 다 알고있음.,연애혁명,570503
48,경우 여자애들 우는거 싫어하는게 아버지한테 맞고난 다음에 어머니가 우시는거 보고 싫어하는거 같은데,연애혁명,570503
49,애기주영이는 어릴때도 옷 잘입네..,연애혁명,570503
50,이건 공주영이 잘못함 마지막 대사에서도 자기가 안그랬다고 변명만하잖아 자기가 말한거 맞으면서,연애혁명,570503
51,주영이퇴원후공주영: 야 이진솔! 나랑자리좀 바꾸자이진솔:아 왜 또 나야!이쯤이면 맨날 자리바꿔주는 진솔이가 너무착하다,연애혁명,570503
52,와...이건 주영이가 잘못한게 맞는듯...,연애혁명,570503
53,그냥 볼수록 이번 스토리는 마음이 아프다,연애혁명,570503
54,이건 주영이가 잘못한게맞지ㅋㅋ,연애혁명,570503
