,comment,webtoon_name,webtoon_num,label
0,작가님 주경이 여드름치료는 좀 시켜주시죠 ,여신강림,703846,빵터지는
1,이야 한 화가 전부 다 수호뿐이여서 기분이 좋네수호파는 행복합니다,여신강림,703846,기다려지는
2,받지마...수호한테 그냥기대....주경이한테는 수호만 어울림!!!!그 선배님도 아니고!서준이도 아니고!오로지 이!수!호!!!!!만  어울린다고!!!!!!!!!!!!!!!!!!!!!!!,여신강림,703846,빵터지는
3,꼭 못생긴 것들이 얼굴평가 오지게 하더라,여신강림,703846,빵터지는
4,다음화 예상주경:어...어?....왜...?수호:집에가서 얼굴 겁나빨개져서 쇼파에앉아서 머리박고 있음주경:침대에앉아서 다시 한서준한테 전화할까 카톡할까 고민함마지막컷:임주경이랑 이수호랑 같이있는데 한서준 만남끝^^,여신강림,703846,그림체가 귀여운
5,아니..... 너무.. 너무 ... 쌩얼.... 아니 상관없긴한데... ,여신강림,703846,어두운
6,이런 완벽한남자를 다봤나;,여신강림,703846,먼치킨인
7,솔직히 친구를 만나든 남친을 만나든 조금은 꾸미고나오지않나 꼭 그래야 하는건 아니지만 그래도 주경이가 그런건 제일 잘 알텐데..,여신강림,703846,소름돋는
8,주경아...성형: 🙅🏻‍♀️여드름치료:🙆🏻‍♀️서준이 전화 받기: 🙅🏻‍♀️🙅🏻‍♀️🙅🏻‍♀️수호랑 키스타임: 🙆🏻‍♀️🙆🏻‍♀️🙆🏻‍♀️🙆🏻‍♀️🙆🏻‍♀️🙆🏻‍♀️🙆🏻‍♀️🙆🏻‍♀️🙆🏻‍♀️,여신강림,703846,똑똑한
9,작가님은 내용에 1% 수호얼굴에 99%를사용하시는거 같네요,여신강림,703846,똑똑한
10,"주경이 그래도 추리닝은 좀,,",여신강림,703846,빵터지는
11,이야 한 화가 전부 다 수호뿐이여서 기분이 좋네,여신강림,703846,기다려지는
12,베댓 못생기면 얼평하면 안되고 잘생기고 이쁘면 얼평해도되나ㅠ,여신강림,703846,똑똑한
13,아 진짜 수호야.. 개설레...,여신강림,703846,소름돋는
14,한서준이야ㅏ아앙약ㄲ!!!!!!!!!!!,여신강림,703846,똑똑한
15,수호파 인원수 점검하겠습니다 1/99999999999999999,여신강림,703846,똑똑한
16,다음주에 바로 안 이어져요. 여신강림 계속 봐오신분들은 알잖아요 별 내용 없는걸로 질질 끄는거... ,여신강림,703846,빵터지는
17,다음화주경:ㅇ ㅓ어?..수호:나랑 놀자고주경;(당황+어리바리)이렇게 질질 끌겠죠 뭐ㅋ,여신강림,703846,똑똑한
