,webtoonName,webtoonNum,top1,top2,top3
0,갓 오브 하이스쿨,318995,빵터지는,어두운,먼치킨인
1,연애혁명,570503,빵터지는,어두운,먼치킨인
2,모죠의 일지,728015,빵터지는,어두운,먼치킨인
3,복학왕,626907,빵터지는,어두운,먼치킨인
4,호랑이형님,650305,빵터지는,어두운,먼치킨인
5,뷰티풀 군바리,648419,빵터지는,먼치킨인,어두운
6,외모지상주의,641253,빵터지는,어두운,먼치킨인
7,기기괴괴,557672,빵터지는,어두운,먼치킨인
8,프리드로우,597447,빵터지는,어두운,먼치킨인
9,소녀의 세계,654774,어두운,빵터지는,먼치킨인
10,열렙전사,670152,어두운,기다려지는,빵터지는
11,윈드브레이커,602910,빵터지는,어두운,먼치킨인
12,고수,662774,빵터지는,어두운,먼치킨인
13,격기3반,701535,빵터지는,어두운,먼치킨인
14,바른연애 길잡이,703852,어두운,빵터지는,먼치킨인
15,랜덤채팅의 그녀!,702608,빵터지는,어두운,먼치킨인
16,여신강림,703846,어두운,빵터지는,먼치킨인
17,취사병 전설이 되다,727188,빵터지는,먼치킨인,어두운
18,독립일기,748105,어두운,빵터지는,기다려지는
19,맘마미안,729326,어두운,빵터지는,잘생긴
20,이두나!,731130,어두운,빵터지는,먼치킨인
21,더 복서,736989,빵터지는,먼치킨인,어두운
22,인생존망,733766,빵터지는,어두운,먼치킨인
23,싸움독학,736277,어두운,빵터지는,기다려지는
24,관계의 종말,752803,빵터지는,어두운,먼치킨인
25,전지적 독자 시점,747269,빵터지는,어두운,먼치킨인
26,이번 생도 잘 부탁해,746858,어두운,기다려지는,잘생긴
27,한림체육관,743139,빵터지는,어두운,먼치킨인
28,데드퀸,753478,빵터지는,먼치킨인,어두운
29,참교육,758037,빵터지는,어두운,소름돋는
30,힙한남자,758619,어두운,빵터지는,잘생긴
31,여성전용헬스장 진달래짐,759457,빵터지는,어두운,소름돋는
