comment,label
이 나라 사람들은 게임을 잘한다라면서 은근슬쩍 도깨비가 우리나라 게임 실력을 칭찬함ㅋㅋㅋ,게임물
그 일본영화중에 달마  걔가 사람 움직이면 터트려버리는 그 장면 같음 ,게임물
신이 말하는 대로 한국판인가 ,게임물
신이 말하는데로 랑비슷하네 ,게임물
이거 약간 영화  신이 말하는대로 느낌 나는데 ,게임물
뉴비는 ㄹㅇ 독자적시점으로 봐야되는거거든요 저도 뉴비입니다 ㅎㅎ,게임물
이거 완전 신이 말하는 대로 잖아 ,게임물
신이 말하는대로 같다,게임물
오 신이말하는대로 아는 사람이 있네 ,게임물
근데 이거 신이말하는대로 인가  그거랑 학교 씬이 너무 비슷해서 약간 소름 돋네 ㅋㅋ,게임물
헉  보다가 왠지 신이 말하는 대로 생각났어 웹툰 넘 오져서 소설도 보러가고 싶어짐,게임물
ㅋㅋㅋ도깨비도 코리아가 겜잘하고 겜에 미친거아누,게임물
지금까진 신이 말하는대로랑 똑같네,게임물
신이 말하는대로 같네,게임물
이 나라 사람들은 게임에 능하다는걸 보고 뿌듯,게임물
아 ㄹㅇ 신이말하는대로 재밌게 봤는데 좋다 되게,게임물
헐 전화 보고 신이 말하는대로 댓글 달고 왔는데 저처럼 생각하시는 분들이 많았군요ㅋㅋㅋㅋㅋ,게임물
신이 말하는대로 느낌나네,게임물
뭔가 신이 말하는 대로 같아,게임물
예정된  고구마에 분개합니다 ,고구마인
예정된 고구마에 분개한대 ㅋㅋㅋ,고구마인
한명오 진짜 도움 안됔ㅋㅋㅋ,고구마인
속 터진다고 ㅋㅋㅋㅋ,고구마인
이거 언제 끝나요 ㅠㅠ 답답하다 진찌,고구마인
으윽 고구마 ㅜㅜ빨리 사이다가 필요해 그래도 재밌다ㅎ,고구마인
답답해….,고구마인
와 진짜 그림으로 보니까 고구마  개는 먹은것같다독자는 어떻게 저 상황에서 머리굴려 탈출할까 ,고구마인
예정된  고구마에 분개합니다 ,고구마인
이거 언제 끝나요 ㅠㅠ 답답하다 진찌,고구마인
으윽 고구마 ㅜㅜ빨리 사이다가 필요해 그래도 재밌다ㅎ,고구마인
답답해….,고구마인
와 진짜 그림으로 보니까 고구마  개는 먹은것같다독자는 어떻게 저 상황에서 머리굴려 탈출할까 ,고구마인
예정된  고구마에 분개합니다 ,고구마인
예정된 고구마에 분개한대 ㅋㅋㅋ,고구마인
한명오 진짜 도움 안됔ㅋㅋㅋ,고구마인
속 터진다고 ㅋㅋㅋㅋ,고구마인
이거 언제 끝나요 ㅠㅠ 답답하다 진찌,고구마인
으윽 고구마 ㅜㅜ빨리 사이다가 필요해 그래도 재밌다ㅎ,고구마인
답답해….,고구마인
도깨비 귀여웠ㄴ느데   너보고 소름이 끼쳤다,그림체가 귀여운
비형은 갈수록 귀여워질거야,그림체가 귀여운
막컷 도깨비 눈 쥰내 초롱초롱해ㅋㅋㅋㅋㅋ,그림체가 귀여운
도깨비 마지막에 눈 똘망해지는 것 봐 솜뭉치가 저러니까 더 귀여워,그림체가 귀여운
막컷 보니까 너무 귀여워 ,그림체가 귀여운
ㅋㅋ 귀여워,그림체가 귀여운
마지막 도깨비 기여워 ,그림체가 귀여운
막컷 왤케 귀여웤ㅋㅋㅋㅋ,그림체가 귀여운
개겹군개귀엽다는 뜻임다,그림체가 귀여운
눈 초롱초롱 한거봐 개귀여워,그림체가 귀여운
비형 귀여워ㅠ 눈 초롱초롱한 거 보세요ㅠㅠㅜㅜㅜ,그림체가 귀여운
ㅋㅋ저도깨비기여워졋엌ㅋ,그림체가 귀여운
어 개 귀여워서 씹어먹고싶다,그림체가 귀여운
도깨비 넘 커여운거 아니요ㅠㅠㅠ 나주겅 ㅠㅠㅠ,그림체가 귀여운
저 도깨비 나만 귀여워 ,그림체가 귀여운
비형 겁나 귀엽네 키우고 싶다 ,그림체가 귀여운
썸넬 도깨비 되게 기여웤ㅋㅋㅋㅋ,그림체가 귀여운
아 비형 겁나 귀엽다ㅜㅜ상상이상이야ㅜㅜ,그림체가 귀여운
비형 진ㅁ자 너 왤케 귀여움  날 죽이려는 게 확실해 저 말랑말랑보들보들 털뭉치를 좀 보라구 ,그림체가 귀여운
도깨비 통신에 도트형식으로 되어있는 비형 너무 귀엽다ㅜ,그림체가 귀여운
인물 상상 그대로에요 ,그림체가 디테일한
이지혜 장면 만화로 보니까 완전 대박이다  소름 굉장히 돋네ㅠㅠㅠ 넘 맘아프다,그림체가 디테일한
그림작가님 진짜 뭐야 전독시 엄청 재밌게 보셨나 생각했던 그대로의 작품이라 놀라는 중 ,그림체가 디테일한
우와 그림 진짜 잘 그리네요 ,그림체가 디테일한
전독시 네이버  대장에 오를수 있을만큼 스토리 뛰어나고 그림체도 좋다 신의탑이랑 동급 웹툰될듯 ,그림체가 디테일한
중간에 도깨비  부분 작화 진짜 놀랍다  이빨 묘사보고 충격먹음 주  회 연재에서 이런 퀄리티라니  우리나라 만화계의 미래가 이렇게 밝다,그림체가 디테일한
와 진짜 표정 하나하나가 살아있다 대박,그림체가 디테일한
이현성 진짜 소설에서의 느낌 그대로 잘 그려주셨다ㅠㅠㅠㅠㅠ,그림체가 디테일한
   카페에서 나혼렙을 그리고 인기 상승하고그 뒤로 많은 웹툰들이 전부 리다이스에서 그려지는 중가장 좋은점은 그림체가 개 쩔어서 모든 점에서 좋다 ,그림체가 디테일한
엄청 재밌게 본 웹소설이 이런 개쩌는 고퀄 그림체로 웹툰화 되면 진짜 좋을 거 같다ㅋㅋ,그림체가 디테일한
와 작화 쩐다  그리고 설정도 쩐다 유료서비스라면서 배틀로얄찍게하다니 너무하잖아,그림체가 디테일한
이야  잘 그렸다 ,그림체가 디테일한
작화 나혼렙 누낌난다 개좋다 작화진짜,그림체가 디테일한
와 이지혜 그림으로 보니까 더 소름돋는다 걍,그림체가 디테일한
요즘 나오는 신작들 그림체랑 진짜 비교된다,그림체가 디테일한
지혜 멘탈터지는 소리 여기까지 들린다 ㅛㅜㅠ현성이랑 지혜 둘다 진짜 내 상상 그대로라 놀랐음 와 너무 좋아ㅠ,그림체가 디테일한
이야 역시 나혼업 그림팀 진짜 표현력이지리네 소설을 사람들이 생각한거랑 최대한 비슷하게 만들려고하는게 눈에띤다,그림체가 디테일한
지혜 표정보고 소름 쫙돋았어요 표현 미쳤다작가님 사랑해요,그림체가 디테일한
제가 이 말씀 드렸나요 사랑합니다 진빠 원작 읽을 때 이건 웹툰이나 영화 이런걸로 나왔으면 했는데 어떻게 어렇게 잘 그리고 멋있게 그려주신건지 ㅠㅠ 제가 정말 진심으로 사랑합니다 ㅠㅠㅠㅠ,그림체가 디테일한
진짜 재밌네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 이거 더 올라가겠다  위 노려볼만 한듯 그림체 내용 모든것이 조화롭다 첫화 부터 몰입 되기 힘든데 스토리 되게 괜찮네 참신하다,그림체가 디테일한
어 저 잼민인데 너무 재미있어요 ,기다려지는
와 존나 재밌는데 ㄹㅇ,기다려지는
헐 대박 재밌다,기다려지는
재밌다 유명해서 소설 보려고 했는데 글은 안좋아해서 걍 버티다가 웹툰나온거 봤는데 개재밌네,기다려지는
비유도 빨리나왔으면 좋겠다ㅎ,기다려지는
이 재밌는걸 왜 이제야안거지 ,기다려지는
소설보고 보니까 더 재밌네 ㅋㅋ,기다려지는
진짜 개재밌다,기다려지는
진짜 소설읽기 귀찮아서 항상 봐야지 봐야지만 반복해왔었는데 웹툰으로 보니 엄청난 것이었잖아  작가님 저 웹툰도 보고 소설도 볼거예요  헿ㅎ 그리고 우리 지역엔 지하철이 없어서 다행이다  ,기다려지는
다시보고싶었던성좌가  코인을 후원했습니다 ,기다려지는
몰입감 ㅁ쳤는데  와,기다려지는
와 몰입도 장난아니다 이 웹툰 ㄷ,기다려지는
난 이거  편까지보고 문피아가서  일만에  편 다봄 진심  후회안함 달빛조각사 저리가라고  몰입도  진심 최강 제 친구한테 아이디 빌려줘서 읽어보라고 강추했죠 다만  대여가 아니라  구입을 할걸 그랬음 개후회함  ㅅㅂ  ㅠㅜ,기다려지는
와 몰입감 장난아니다,기다려지는
와 이거 개지리네,기다려지는
처음엔 좀 충격이죠  저도 심장 쫄깃쫄깃했어요  앞으로 기대만발 ,기다려지는
존나 재밌는데 이거 왜 안보고 있었냐 나란 새끼,기다려지는
시 바 이거 왜 내가 사는 세계에는 없는거 거의  년 동안 연재 하던 작품을 한 독자가 전부 정주행하고 내용까지 알고 있으면 되게 흥분될것 같은데 개 재밌다,기다려지는
이거 진짜 재밋네,기다려지는
흥미진진,기다려지는
미친 스마트해,똑똑한
개똑똑하네,똑똑한
지능캐다,똑똑한
지능적이네,똑똑한
머리 좋은디,똑똑한
와  님 똑똑하다,똑똑한
독자 머리 좋다 진짜  이건 소설을 한 번 봤다고 해서 할 수 있는 행동이 아님 원래도 머리 좋은가봐 부럽다,똑똑한
길영이ㅠㅠㅠㅠ 초코바까지 계산하구 애가 아주 똑부러져  ,똑똑한
 독자는 똑똑하자 도깨비는 귀엽다 은밀한 모략가는 관종이다 번은 개인주의야 인호도 개인주의야,똑똑한
김독자 플러팅 오진다 ,똑똑한
미친 스마트해,똑똑한
개똑똑하네,똑똑한
지능캐다,똑똑한
지능적이네,똑똑한
머리 좋은디,똑똑한
와  님 똑똑하다,똑똑한
독자 머리 좋다 진짜  이건 소설을 한 번 봤다고 해서 할 수 있는 행동이 아님 원래도 머리 좋은가봐 부럽다,똑똑한
길영이ㅠㅠㅠㅠ 초코바까지 계산하구 애가 아주 똑부러져  ,똑똑한
 독자는 똑똑하자 도깨비는 귀엽다 은밀한 모략가는 관종이다 번은 개인주의야 인호도 개인주의야,똑똑한
김독자 플러팅 오진다 ,똑똑한
개웃기네ㅋㅋㅋㅋㅋ,빵터지는
미친 개 웃긴다고 ㅋㅋㅋㅋㅋ,빵터지는
완전 미친거 같네ㅋㅋㅋㅋㅋ,빵터지는
혼자 빵터짐,빵터지는
웃다가 넘어짐,빵터지는
웃긴다 ㅋㅋㅋㅋㅋㅋ,빵터지는
개웃기네ㅋㅋㅋㅋㅋ,빵터지는
미친 개 웃긴다고 ㅋㅋㅋㅋㅋ,빵터지는
완전 미친거 같네ㅋㅋㅋㅋㅋ,빵터지는
혼자 빵터짐,빵터지는
웃다가 넘어짐,빵터지는
유중혁처럼 말해보기 ㅋㅋㅋㅋ 귀엽다ㅜ,빵터지는
유중혁처럼 말해보기래 ㅋㅋ  넘 귀엽다 독자 ㅋㅋ,빵터지는
깨알 유중력 따라하기ㅋㄱㅋ,빵터지는
유중혁처럼 말해보깈ㅋㅋㅋ,빵터지는
썸네일 걸그룹 뮤비같다는 댓글 어디감ㅠㅠ 그거보고 겁나 웃었는데,빵터지는
ㅋㅋㅋㅋㅋ유중혁처럼 말해보깈ㅋㅋㅋㅋ독자야 넘 귀여자나 ㅋㅋㅋㅋㅋㅋㅋㅋ,빵터지는
초반은 역시 이 아포칼립스적 분위기가 꿀잼이었음 ㄹㅇ,빵터지는
유중혁처럼 말해보기 ㅋㅋㅋㅋㅋ 독자 귀엽네,빵터지는
유중혁처럼 말해보기  ㅋㅋㅋㅋㅋㅋㅋㅋ,빵터지는
미친 사이다다,사이다인
속 시원하네,사이다인
왁ㄱㄱㄱ 드디어 사이다다,사이다인
속 시원하네요,사이다인
은근 사이다다,사이다인
사이다 ,사이다인
캬 사이다  지하철에서 뭐 메뚜기 알을 나누네 마네 했던 사람들 보고있냐 ,사이다인
부장님 잘가요 ㅋㅋㅋㅋㅋ 아 고구마에 사이다네다네  다메다메 ,사이다인
식량 사라지는거 은근 사이다,사이다인
와 ㄹㅇ 사이다,사이다인
미친 사이다다,사이다인
속 시원하네,사이다인
왁ㄱㄱㄱ 드디어 사이다다,사이다인
속 시원하네요,사이다인
은근 사이다다,사이다인
사이다 ,사이다인
캬 사이다  지하철에서 뭐 메뚜기 알을 나누네 마네 했던 사람들 보고있냐 ,사이다인
부장님 잘가요 ㅋㅋㅋㅋㅋ 아 고구마에 사이다네다네  다메다메 ,사이다인
식량 사라지는거 은근 사이다,사이다인
와 ㄹㅇ 사이다,사이다인
두근두근댄다,설레는
미친 설레 ㅠㅠㅠ,설레는
로맨스네 완전,설레는
너무너무 설레요 ㅠㅠㅠ,설레는
개 설렌다 ㅠㅠ,설레는
잘생겨서 설렘,설레는
독자야 넘 설렌다 ,설레는
 저 흑발 여자분 실물은 소설로 본 저희도 처음이라 너무 설렙니다 너무 이쁘네요 ㅎㅎ,설레는
두근두근댄다,설레는
미친 설레 ㅠㅠㅠ,설레는
로맨스네 완전,설레는
너무너무 설레요 ㅠㅠㅠ,설레는
개 설렌다 ㅠㅠ,설레는
잘생겨서 설렘,설레는
로맨스네 완전,설레는
너무너무 설레요 ㅠㅠㅠ,설레는
개 설렌다 ㅠㅠ,설레는
잘생겨서 설렘,설레는
독자야 넘 설렌다 ,설레는
 저 흑발 여자분 실물은 소설로 본 저희도 처음이라 너무 설렙니다 너무 이쁘네요 ㅎㅎ,설레는
와 ㅁㅊ ,소름돋는
이 웹툰 의 모든 컷이 떡밥이라면 여러번 믿으시겟습니까 그런데 진짜 모든 컷 모든 장면이 떡밥입니다 여러분 ㅋㅋ,소름돋는
 년 동안 읽은 천회가 넘는 웹소설의 초반부를 저렇게 자세히 기억하고 있는게 제일 놀랍다 ㅋㅋㅋ,소름돋는
생존자 얘기할 때 개 소름,소름돋는
 년 전에 읽은 내용을 어떻게 다 기억하지,소름돋는
와 소름 돋았어요  진짜 온몸에 소름이 쫙,소름돋는
재밌네ㅋㅋ소설한번도 본적없는데  저 군인 나오는 시점부터 주인공이 알고있는 멸살법 내용이랑 묘하게 어긋나는게 흥미진진,소름돋는
우 아  소름돋아  무서워 ,소름돋는
진짜 이건 꼭 다 봐야돼 떡밥 회수 큰그림 지림,소름돋는
이지혜 ㅅㅂㅅㅂ 온몸에 소름돋는다 매화매화,소름돋는
